#Verb,Root,Sep,Trans
nachschlagen,schlagen,y,to lookup
,passen,n,be suitable
,schiffen,n,navigate
aufräumen,räumen,y,to clean up
,wickeln,n,to roll
aufwickeln,wickeln,y,to coil
aufwachen,wachen,y,to awake
,richten,n,to judge (by)
aufrichten,richten,y,to sit up
vermieten,mieten,n,rent
,fordern,n,to arrogate
verehren,ehren,n,to adore
entgegenkommen,kommen,y,to be coming up to meet
überholen,holen,n,to outdistance
besteigen,steigen,n,to climb
auspacken,packen,y,to unpack
einpacken,packen,y,to pack
verbringen,bringen,n,to spend
beschädigen,schädigen,n,spoiled
fortsetzen,setzen,y,to continue
,zünden,n,to fire
bedienen,dienen,n,to attend
,schicken,n,to forward
,drücken,n,to actuate
,stecken,n,to poke
angreifen,greifen,y,to affront
,schützen,n,scorers
versorgen,sorgen,n,to provide
,mischen,n,blended
aufheben,heben,y,to abolish
,scheinen,n,to appear
abschließen,schließen,y,shutoff
entscheiden,scheiden,n,adjudicate
,schreiten,n,to tread {trod, trod}
,reißen,n,to pull
,tagen,n,to hold a meeting
,jagen,n,to chase
ansprechen,sprechen,y,to accost
vertreiben,treiben,n,dispelled
ausstellen,stellen,y,to issue
,spülen,n,swill
behandeln,handeln,y,discussed
erbrechen,brechen,n,puke
,stoßen,n,struck
,eilen,n,to haste
ausgehen,gehen,y,to go out
,anbringen,n,to add
anbringen,bringen,y,to add
,dringen,n,to get through
vortäuschen,täuschen,y,to affect
,hauen,n,hewed
,greifen,n,to grasp
abkommen,kommen,y,to deviate
aussortieren,sortieren,y,to sort out
vorkommen,kommen,y,to be found
enttäuschen,täuschen,n,to disappoint
anrufen,rufen,y,to appeal (to)
belohnen,lohnen,n,to recompense
bestrafen,strafen,n,to penalize
unterstützen,stützen,n,to abet
verbessern,bessern,n,to ameliorate
,streiten,n,to altercate
bedauern,dauern,n,to deplore
,warten,n,to maintain
wegnehmen,nehmen,y,to take away
,ruhen,n,repose
,bestellen,n,book
bestellen,stellen,n,book
bemerken,merken,n,to become aware of
beachten,achten,n,to follow
anzeigen,zeigen,y,to advertise
,gewöhnen,n,to acclimate
,löschen,n,to clear
verdienen,dienen,n,to deserve
gehören,hören,n,to appertain
,rühren,n,melted
,vereinigen,n,to ally
vereinigen,einigen,n,to ally
,hacken,n,hack
enterben,erben,n,to disinherit
,haken,n,to hook
beibringen,bringen,y,to teach
unterrichten,richten,n,to instruct
zulassen,lassen,y,to admit
,stören,n,to derange
mitteilen,teilen,y,communicate
,vollziehen,n,to fulfill
betreten,treten,n,to accede
,vertrauen,n,to confide
verwechseln,wechseln,n,to confound
umfassen,fassen,n,to comprise
umschließen,schließen,n,to enclose
vornehmen,nehmen,y,to carry out
,zerren,n,to lug
abwarten,warten,y,to await
ausdrücken,drücken,y,to crush
auskommen,kommen,y,manage-with
erwarten,warten,n,abided
überlassen,lassen,n,ceded
ablassen,lassen,y,to desist
nachprüfen,prüfen,y,recheck
auflassen,lassen,y,to leave open
auslassen,lassen,y,to leave out
umgehen,gehen,n,to bypass
durchlassen,lassen,y,to let pass
einlassen,lassen,y,to admit
abfertigen,fertigen,y,to dispatch
bedecken,decken,n,suffuse
einholen,holen,y,to overtake
gehorchen,horchen,n,to obey
bebauen,bauen,n,to farm
,dichten,n,versify
freilassen,lassen,y,manumit
